giou_val_loss:  37.50, conf_val_loss:  26.20, prob_val_loss:   0.84, total_val_loss:  64.54
giou_val_loss:  27.36, conf_val_loss:   9.98, prob_val_loss:   0.09, total_val_loss:  37.44
giou_val_loss:  23.86, conf_val_loss:   6.67, prob_val_loss:   0.04, total_val_loss:  30.56
giou_val_loss:  22.32, conf_val_loss:   5.37, prob_val_loss:   0.02, total_val_loss:  27.71
giou_val_loss:  21.31, conf_val_loss:   4.66, prob_val_loss:   0.01, total_val_loss:  25.98
giou_val_loss:  20.42, conf_val_loss:   4.19, prob_val_loss:   0.01, total_val_loss:  24.62
giou_val_loss:  19.50, conf_val_loss:   3.86, prob_val_loss:   0.00, total_val_loss:  23.36
giou_val_loss:  19.12, conf_val_loss:   3.45, prob_val_loss:   0.00, total_val_loss:  22.57
giou_val_loss:  18.76, conf_val_loss:   3.24, prob_val_loss:   0.00, total_val_loss:  22.00
giou_val_loss:  18.24, conf_val_loss:   3.12, prob_val_loss:   0.00, total_val_loss:  21.37
giou_val_loss:  18.08, conf_val_loss:   3.13, prob_val_loss:   0.00, total_val_loss:  21.21
giou_val_loss:  17.73, conf_val_loss:   2.81, prob_val_loss:   0.00, total_val_loss:  20.54
giou_val_loss:  17.43, conf_val_loss:   2.71, prob_val_loss:   0.00, total_val_loss:  20.14
giou_val_loss:  17.39, conf_val_loss:   2.56, prob_val_loss:   0.00, total_val_loss:  19.96
giou_val_loss:  17.69, conf_val_loss:   2.62, prob_val_loss:   0.00, total_val_loss:  20.31
giou_val_loss:  16.82, conf_val_loss:   2.36, prob_val_loss:   0.00, total_val_loss:  19.18
giou_val_loss:  16.66, conf_val_loss:   2.32, prob_val_loss:   0.00, total_val_loss:  18.98
giou_val_loss:  16.48, conf_val_loss:   2.22, prob_val_loss:   0.00, total_val_loss:  18.70
giou_val_loss:  16.49, conf_val_loss:   2.19, prob_val_loss:   0.00, total_val_loss:  18.68
giou_val_loss:  16.44, conf_val_loss:   2.29, prob_val_loss:   0.00, total_val_loss:  18.73
giou_val_loss:  16.20, conf_val_loss:   2.03, prob_val_loss:   0.00, total_val_loss:  18.22
giou_val_loss:  15.89, conf_val_loss:   2.09, prob_val_loss:   0.00, total_val_loss:  17.98
giou_val_loss:  15.51, conf_val_loss:   2.04, prob_val_loss:   0.00, total_val_loss:  17.55
giou_val_loss:  15.58, conf_val_loss:   1.92, prob_val_loss:   0.00, total_val_loss:  17.50
giou_val_loss:  15.44, conf_val_loss:   1.89, prob_val_loss:   0.00, total_val_loss:  17.33
giou_val_loss:  15.37, conf_val_loss:   1.80, prob_val_loss:   0.00, total_val_loss:  17.17
giou_val_loss:  15.06, conf_val_loss:   1.75, prob_val_loss:   0.00, total_val_loss:  16.81
giou_val_loss:  15.22, conf_val_loss:   1.80, prob_val_loss:   0.00, total_val_loss:  17.03
giou_val_loss:  14.89, conf_val_loss:   1.78, prob_val_loss:   0.00, total_val_loss:  16.66
giou_val_loss:  14.90, conf_val_loss:   1.74, prob_val_loss:   0.00, total_val_loss:  16.64
giou_val_loss:  15.03, conf_val_loss:   1.84, prob_val_loss:   0.00, total_val_loss:  16.87
giou_val_loss:  14.83, conf_val_loss:   1.82, prob_val_loss:   0.00, total_val_loss:  16.65
giou_val_loss:  14.58, conf_val_loss:   1.76, prob_val_loss:   0.00, total_val_loss:  16.34
giou_val_loss:  14.60, conf_val_loss:   1.57, prob_val_loss:   0.00, total_val_loss:  16.17
giou_val_loss:  14.58, conf_val_loss:   1.63, prob_val_loss:   0.00, total_val_loss:  16.21
giou_val_loss:  14.29, conf_val_loss:   1.66, prob_val_loss:   0.00, total_val_loss:  15.95
giou_val_loss:  14.31, conf_val_loss:   1.53, prob_val_loss:   0.00, total_val_loss:  15.84
giou_val_loss:  14.11, conf_val_loss:   1.59, prob_val_loss:   0.00, total_val_loss:  15.71
giou_val_loss:  14.20, conf_val_loss:   1.53, prob_val_loss:   0.00, total_val_loss:  15.73
giou_val_loss:  13.87, conf_val_loss:   1.57, prob_val_loss:   0.00, total_val_loss:  15.44
giou_val_loss:  13.81, conf_val_loss:   1.52, prob_val_loss:   0.00, total_val_loss:  15.32
giou_val_loss:  13.89, conf_val_loss:   1.43, prob_val_loss:   0.00, total_val_loss:  15.32
giou_val_loss:  13.82, conf_val_loss:   1.46, prob_val_loss:   0.00, total_val_loss:  15.28
giou_val_loss:  13.63, conf_val_loss:   1.38, prob_val_loss:   0.00, total_val_loss:  15.02
giou_val_loss:  13.77, conf_val_loss:   1.48, prob_val_loss:   0.00, total_val_loss:  15.25
giou_val_loss:  13.52, conf_val_loss:   1.39, prob_val_loss:   0.00, total_val_loss:  14.91
giou_val_loss:  13.51, conf_val_loss:   1.45, prob_val_loss:   0.00, total_val_loss:  14.96
giou_val_loss:  13.42, conf_val_loss:   1.37, prob_val_loss:   0.00, total_val_loss:  14.80
giou_val_loss:  13.38, conf_val_loss:   1.46, prob_val_loss:   0.00, total_val_loss:  14.84
giou_val_loss:  13.34, conf_val_loss:   1.31, prob_val_loss:   0.00, total_val_loss:  14.65
giou_val_loss:  13.08, conf_val_loss:   1.42, prob_val_loss:   0.00, total_val_loss:  14.49
giou_val_loss:  13.16, conf_val_loss:   1.31, prob_val_loss:   0.00, total_val_loss:  14.47
giou_val_loss:  13.25, conf_val_loss:   1.32, prob_val_loss:   0.00, total_val_loss:  14.57
giou_val_loss:  13.25, conf_val_loss:   1.30, prob_val_loss:   0.00, total_val_loss:  14.55
giou_val_loss:  12.97, conf_val_loss:   1.25, prob_val_loss:   0.00, total_val_loss:  14.22
giou_val_loss:  13.14, conf_val_loss:   1.25, prob_val_loss:   0.00, total_val_loss:  14.39
giou_val_loss:  13.05, conf_val_loss:   1.22, prob_val_loss:   0.00, total_val_loss:  14.27
giou_val_loss:  12.82, conf_val_loss:   1.28, prob_val_loss:   0.00, total_val_loss:  14.10
giou_val_loss:  12.75, conf_val_loss:   1.27, prob_val_loss:   0.00, total_val_loss:  14.02
giou_val_loss:  12.92, conf_val_loss:   1.23, prob_val_loss:   0.00, total_val_loss:  14.15
giou_val_loss:  12.77, conf_val_loss:   1.21, prob_val_loss:   0.00, total_val_loss:  13.98
giou_val_loss:  12.65, conf_val_loss:   1.18, prob_val_loss:   0.00, total_val_loss:  13.83
giou_val_loss:  12.53, conf_val_loss:   1.23, prob_val_loss:   0.00, total_val_loss:  13.75
giou_val_loss:  12.47, conf_val_loss:   1.21, prob_val_loss:   0.00, total_val_loss:  13.68
giou_val_loss:  12.36, conf_val_loss:   1.26, prob_val_loss:   0.00, total_val_loss:  13.63
giou_val_loss:  12.46, conf_val_loss:   1.22, prob_val_loss:   0.00, total_val_loss:  13.68
giou_val_loss:  12.46, conf_val_loss:   1.22, prob_val_loss:   0.00, total_val_loss:  13.67
giou_val_loss:  12.42, conf_val_loss:   1.20, prob_val_loss:   0.00, total_val_loss:  13.62
giou_val_loss:  12.47, conf_val_loss:   1.16, prob_val_loss:   0.00, total_val_loss:  13.62
